#pro1	pro2	combined score
ADH6	SAY1	9999.000000
ADH6	SCT1	9999.000000
ADH6	SEI1	9999.000000
ADH6	SLC1	9999.000000
ADH6	SPO14	9999.000000
ADH6	SPS19	9999.000000
ADH6	SPT23	9999.000000
ADH6	STE23	9999.000000
ADH6	TES1	9999.000000
ADH6	TGL1	9999.000000
ADH6	TGL2	9999.000000
ADH6	TGL3	9999.000000
ADH6	TGL4	9999.000000
ADH6	TGL5	9999.000000
ADH6	YAT1	9999.000000
ADH6	YEH1	9999.000000
ADH6	YEH2	9999.000000
ADH6	YHL050C	9999.000000
ADH6	YJU3	0.901000
ADH6	YLL067C	9999.000000
ADH7	ACB1	9999.000000
ADH7	ACC1	9999.000000
ADH7	ACP1	9999.000000
ADH7	ACS1	9999.000000
ADH7	ACS2	9999.000000
ADH7	ADH6	9999.000000
ADH7	ADH7	0.000000
ADH7	ADR1	9999.000000
ADH7	AIM45	9999.000000
ADH7	ALD2	0.770000
ADH7	ALD3	0.764000
ADH7	ALD4	0.788000
ADH7	ALD5	9999.000000
ADH7	ALD6	0.839000
ADH7	ALE1	9999.000000
ADH7	AMD2.00	9999.000000
ADH7	ARE2	9999.000000
ADH7	ATG15	9999.000000
ADH7	AYR1	9999.000000
ADH7	CAT2	9999.000000
ADH7	CDC48	9999.000000
ADH7	CDC60	9999.000000
ADH7	CDS1	9999.000000
ADH7	CEM1	9999.000000
ADH7	CFD1	9999.000000
ADH7	CHO1	9999.000000
ADH7	CHO2	9999.000000
ADH7	CIR1	9999.000000
ADH7	CIT1	9999.000000
ADH7	CIT2	9999.000000
ADH7	CIT3	9999.000000
ADH7	CMD1	9999.000000
ADH7	CPT1	9999.000000
ADH7	CRC1.00	9999.000000
ADH7	CTA1	9999.000000
ADH7	CTT1	9999.000000
ADH7	CYB2	9999.000000
ADH7	CYB5	9999.000000
ADH7	CYC1	9999.000000
ADH7	DCI1	9999.000000
ADH7	DGA1	9999.000000
ADH7	DGK1	9999.000000
