#node1	node2	combined_score
DCI1	MDH3	0.744
DCI1	PEX7	0.928
DCI1	PEX5	0.939
DCI1	PEX10	0.863
DCI1	FAA2	0.774
DCI1	PEX14	0.929
DCI1	POX1	0.975
DCI1	PEX18	0.843
DCI1	POT1	0.902
DCI1	TES1	0.899
DCI1	PXA2	0.762
DCI1	FOX2	0.98
DCI1	PEX13	0.911
DCI1	ECI1	0.966
DCI1	PEX12	0.867
DCI1	SPS19	0.983
DCI1	PEX6	0.789
DCI1	PEX11	0.938
DGA1	SCT1	0.854
DGA1	FAT1	0.906
DGA1	SLC1	0.902
DGA1	TGL2	0.955
DGA1	DPP1	0.972
DGA1	LPP1	0.975
DGA1	FAA2	0.869
DGA1	PHM8	0.939
DGA1	OLE1	0.936
DGA1	POX1	0.853
DGA1	FAA3	0.786
DGA1	YJU3	0.982
DGA1	TGL1	0.945
DGA1	FAS1	0.708
DGA1	PET10	0.713
DGA1	GPT2	0.819
DGA1	TGL4	0.992
DGA1	YEH1	0.818
DGA1	YEH2	0.821
DGA1	SEI1	0.887
DGA1	PAH1	0.997
DGA1	FAA4	0.789
DGA1	TGL3	0.995
DGA1	LRO1	0.999
DGA1	TGL5	0.992
DGA1	FAS2	0.717
DGA1	FAA1	0.788
DGA1	DGK1	0.933
DGK1	SLC1	0.9
DGK1	DPP1	0.982
DGK1	LPP1	0.982
DGK1	PCT1	0.71
DGK1	EPT1	0.984
DGK1	SPT23	0.82
DGK1	YJU3	0.716
DGK1	SPO14	0.97
DGK1	TGL4	0.967
DGK1	PAH1	0.998
DGK1	LRO1	0.926
DGK1	TGL5	0.955
DGK1	LOA1	0.907
DPP1	SCT1	0.92
DPP1	SLC1	0.962
DPP1	LOA1	0.726
DPP1	OLE1	0.749
DPP1	PIS1	0.788
DPP1	GUT2	0.81
DPP1	TGL4	0.812
DPP1	TGL5	0.836
DPP1	LPP1	0.859
DPP1	TGL3	0.882
DPP1	GPT2	0.904
DPP1	EPT1	0.931
DPP1	SPO14	0.955
DPP1	LRO1	0.975
DPP1	PAH1	0.997
"DUR1,2"	POX1	0.746
"DUR1,2"	UGA1	0.763
"DUR1,2"	GLN1	0.778
"DUR1,2"	MCT1	0.851
"DUR1,2"	EHD3	0.852
"DUR1,2"	ERG10	0.868
"DUR1,2"	PXP1	0.892
ECI1	PEX5	0.778
ECI1	FAA2	0.899
ECI1	POX1	0.997
ECI1	POT1	0.985
ECI1	TES1	0.99
ECI1	PXA2	0.837
ECI1	FOX2	0.998
ECI1	PEX11	0.812
ECI1	PXA1	0.863
ECI1	SPS19	0.993
EHD3	POX1	0.769
EHD3	FOX2	0.973
EHT1	FAT1	0.813
EHT1	TGL1	0.731
EHT1	FAA1	0.798
ELO1	IFA38	0.987
ELO1	ELO2	0.999
ELO1	TSC13	0.975
ELO1	OLE1	0.986
ELO1	PHS1	0.968
ELO1	FAS1	0.785
ELO1	ELO3	0.815
ELO1	FAS2	0.819
ELO2	IFA38	0.992
ELO2	FAS1	0.725
ELO2	FAS2	0.772
ELO2	OLE1	0.974
ELO2	PHS1	0.977
ELO2	TSC13	0.993
ELO2	ELO3	0.995
ELO3	IFA38	0.988
ELO3	TSC13	0.995
ELO3	OLE1	0.971
ELO3	ERG25	0.787
ELO3	ERG11	0.758
ELO3	PHS1	0.972
ELO3	ERG3	0.764
ELO3	FAS2	0.724
ELO3	SCS7	0.749
EPT1	LPP1	0.933
EPT1	PSD2	0.98
EPT1	PCT1	0.991
EPT1	PIS1	0.863
EPT1	TGL4	0.909
EPT1	TGL5	0.912
EPT1	NTE1	0.93
EPT1	SPO14	0.939
EPT1	PAH1	0.981
EPT1	OPI3	0.982
EPT1	PSD1	0.987
ERG1	HEM3	0.922
ERG1	HEM13	0.952
ERG1	OLE1	0.857
ERG1	ERG25	0.999
ERG1	NCP1	0.801
ERG1	ERG10	0.942
ERG1	HMG1	0.988
ERG1	ERG3	0.997
ERG1	ERG7	0.999
ERG1	ERG11	0.999
ERG1	ERG5	0.999
ERG10	POX1	0.985
ERG10	ERG25	0.9
ERG10	ERG11	0.944
ERG10	ERG7	0.917
ERG10	POT1	0.931
ERG10	FOX2	0.776
ERG10	ERG3	0.876
ERG10	HMG1	0.932
ERG10	ERG5	0.959
ERG10	HFA1	0.929
ERG10	LAT1	0.969
ERG10	MLS1	0.958
ERG11	HEM13	0.878
ERG11	OLE1	0.88
ERG11	ERG25	0.999
ERG11	SCS7	0.799
ERG11	FKS1	0.855
ERG11	HMG1	0.987
ERG11	NCP1	0.988
ERG11	ERG7	0.999
ERG11	ERG3	0.999
ERG25	IFA38	0.758
ERG25	HEM13	0.89
ERG25	OLE1	0.908
ERG25	HMS1	0.776
ERG25	SCS7	0.789
ERG25	NCP1	0.842
ERG25	FAS1	0.86
ERG25	HMG1	0.979
ERG25	ERG3	0.999
ERG25	ERG7	0.999
ERG25	ERG5	0.999
ERG3	OLE1	0.904
ERG3	ERG7	0.999
ERG3	HMG1	0.816
ERG3	SCS7	0.953
ERG3	ERG5	0.999
ERG5	HEM13	0.888
ERG5	OLE1	0.888
ERG5	NCP1	0.819
ERG5	ERG7	0.997
ERG5	HMG1	0.879
ERG5	SCS7	0.791
ERG7	FAT1	0.899
ERG7	IFA38	0.865
ERG7	SLC1	0.788
ERG7	OLE1	0.715
ERG7	YEH1	0.77
ERG7	YJU3	0.844
ERG7	TGL1	0.859
ERG7	HMG1	0.901
ETR1	HFA1	0.704
ETR1	OAR1	0.811
ETR1	POX1	0.853
ETR1	LIP2	0.885
ETR1	FAS2	0.928
ETR1	FAS1	0.946
ETR1	HTD2	0.984
FAA1	FAT1	0.977
FAA1	TGL2	0.712
FAA1	FAA2	0.787
FAA1	OLE1	0.895
FAA1	POX1	0.99
FAA1	YJU3	0.827
FAA1	FAS1	0.957
